_time,value,resourceName
10/1/24 0:00,17.47,Temperature
10/1/24 4:00,17.41,Temperature
10/1/24 8:00,20.69,Temperature
10/1/24 12:00,26.63,Temperature
10/1/24 16:00,27.57,Temperature
10/1/24 20:00,22.64,Temperature
10/2/24 0:00,20.73,Temperature
10/2/24 4:00,21.05,Temperature
10/2/24 8:00,22.27,Temperature
10/2/24 12:00,28.18,Temperature
10/2/24 16:00,24.15,Temperature
10/2/24 20:00,22.62,Temperature
10/3/24 0:00,20.61,Temperature
10/3/24 4:00,20.25,Temperature
10/3/24 8:00,22.92,Temperature
10/3/24 12:00,28.91,Temperature
10/3/24 16:00,25.3,Temperature
10/3/24 20:00,21.58,Temperature
10/4/24 0:00,20.41,Temperature
10/4/24 4:00,19.52,Temperature
10/4/24 8:00,20.35,Temperature
10/4/24 12:00,25.14,Temperature
10/4/24 16:00,24.23,Temperature
10/4/24 20:00,21.09,Temperature
10/5/24 0:00,20,Temperature
10/5/24 4:00,18.03,Temperature
10/5/24 8:00,19.59,Temperature
10/5/24 12:00,23.57,Temperature
10/5/24 16:00,22.64,Temperature
10/5/24 20:00,19.3,Temperature
10/6/24 0:00,18.54,Temperature
10/6/24 4:00,15.87,Temperature
10/6/24 8:00,18.71,Temperature
10/6/24 12:00,25.58,Temperature
10/6/24 16:00,23.71,Temperature
10/6/24 20:00,20.63,Temperature
10/7/24 0:00,19.41,Temperature
10/7/24 4:00,18.36,Temperature
10/7/24 8:00,21.5,Temperature
10/7/24 12:00,27.91,Temperature
10/7/24 16:00,26.64,Temperature
10/7/24 20:00,24.01,Temperature
10/8/24 0:00,23.58,Temperature
10/8/24 4:00,22.87,Temperature
10/8/24 8:00,24.08,Temperature
10/8/24 12:00,29.11,Temperature
10/8/24 16:00,27.89,Temperature
10/8/24 20:00,21.43,Temperature
10/9/24 0:00,19.8,Temperature
10/9/24 4:00,19.02,Temperature
10/9/24 8:00,20.63,Temperature
10/9/24 12:00,26.6,Temperature
10/9/24 16:00,25.37,Temperature
10/9/24 20:00,22.25,Temperature
10/10/24 0:00,21.04,Temperature
10/10/24 4:00,22.08,Temperature
10/10/24 8:00,23.42,Temperature
10/10/24 12:00,28.38,Temperature
10/10/24 16:00,26.43,Temperature
10/10/24 20:00,21.92,Temperature
10/11/24 0:00,21.13,Temperature
10/11/24 4:00,21.22,Temperature
10/11/24 8:00,21.75,Temperature
10/11/24 12:00,24.36,Temperature
10/11/24 16:00,24.36,Temperature
10/11/24 20:00,20.83,Temperature
10/12/24 0:00,18.88,Temperature
10/12/24 4:00,19.01,Temperature
10/12/24 8:00,20.45,Temperature
10/12/24 12:00,25.18,Temperature
10/12/24 16:00,23.6,Temperature
10/12/24 20:00,21.44,Temperature
10/13/24 0:00,19.98,Temperature
10/13/24 4:00,19.6,Temperature
10/13/24 8:00,20.81,Temperature
10/13/24 12:00,27.95,Temperature
10/13/24 16:00,28.69,Temperature
10/13/24 20:00,23.3,Temperature
10/14/24 0:00,21.21,Temperature
10/14/24 4:00,19.81,Temperature
10/14/24 8:00,21.34,Temperature
10/14/24 12:00,28.37,Temperature
10/14/24 16:00,27.14,Temperature
10/14/24 20:00,22.43,Temperature
10/15/24 0:00,20.58,Temperature
10/15/24 4:00,20.31,Temperature
10/15/24 8:00,21.24,Temperature
10/15/24 12:00,30.07,Temperature
10/15/24 16:00,28.36,Temperature
10/15/24 20:00,23.46,Temperature
10/16/24 0:00,22.12,Temperature
10/16/24 4:00,20.38,Temperature
10/16/24 8:00,21.67,Temperature
10/16/24 12:00,26.85,Temperature
10/16/24 16:00,26.87,Temperature
10/16/24 20:00,23.5,Temperature
10/17/24 0:00,22.68,Temperature
10/17/24 4:00,21.83,Temperature
10/17/24 8:00,22.13,Temperature
10/17/24 12:00,27.7,Temperature
10/17/24 16:00,25.47,Temperature
10/17/24 20:00,23,Temperature
10/18/24 0:00,20.98,Temperature
10/18/24 4:00,20.39,Temperature
10/18/24 8:00,20.26,Temperature
10/18/24 12:00,21.95,Temperature
10/18/24 16:00,19.47,Temperature
10/18/24 20:00,19.02,Temperature
10/19/24 0:00,18.77,Temperature
10/19/24 4:00,17.92,Temperature
10/19/24 8:00,17.98,Temperature
10/19/24 12:00,21.32,Temperature
10/19/24 16:00,19.58,Temperature
10/19/24 20:00,16.87,Temperature
10/20/24 0:00,17.72,Temperature
10/20/24 4:00,17.29,Temperature
10/20/24 8:00,18.22,Temperature
10/20/24 12:00,21.87,Temperature
10/20/24 16:00,20.32,Temperature
10/20/24 20:00,17.76,Temperature
10/21/24 0:00,17.29,Temperature
10/21/24 4:00,17.74,Temperature
10/21/24 8:00,18.6,Temperature
10/21/24 12:00,22.11,Temperature
10/21/24 16:00,21.14,Temperature
10/21/24 20:00,20.06,Temperature
10/22/24 0:00,19.14,Temperature
10/22/24 4:00,18.26,Temperature
10/22/24 8:00,18.92,Temperature
10/22/24 12:00,22.05,Temperature
10/22/24 16:00,21.58,Temperature
10/22/24 20:00,18.87,Temperature
10/23/24 0:00,19.73,Temperature
10/23/24 4:00,18.62,Temperature
10/23/24 8:00,19.76,Temperature
10/23/24 12:00,22.91,Temperature
10/23/24 16:00,21.08,Temperature
10/23/24 20:00,19.63,Temperature
10/24/24 0:00,18.79,Temperature
10/24/24 4:00,18.64,Temperature
10/24/24 8:00,21.24,Temperature
10/24/24 12:00,25.08,Temperature
10/24/24 16:00,23.8,Temperature
10/24/24 20:00,20.82,Temperature
10/25/24 0:00,20.85,Temperature
10/25/24 4:00,19.3,Temperature
10/25/24 8:00,21.13,Temperature
10/25/24 12:00,24.4,Temperature
10/25/24 16:00,23.33,Temperature
10/25/24 20:00,21.02,Temperature
10/26/24 0:00,20,Temperature
10/26/24 4:00,19.43,Temperature
10/26/24 8:00,21.24,Temperature
10/26/24 12:00,23.98,Temperature
10/26/24 16:00,22.53,Temperature
10/26/24 20:00,20.36,Temperature
10/27/24 0:00,18.44,Temperature
10/27/24 4:00,18.21,Temperature
10/27/24 8:00,19.53,Temperature
10/27/24 12:00,22.97,Temperature
10/27/24 16:00,21.24,Temperature
10/27/24 20:00,21.52,Temperature
10/28/24 0:00,21.16,Temperature
10/28/24 4:00,20.95,Temperature
10/28/24 8:00,22.07,Temperature
10/28/24 12:00,24.12,Temperature
10/28/24 16:00,23.18,Temperature
10/28/24 20:00,20.92,Temperature
10/29/24 0:00,20.27,Temperature
10/29/24 4:00,20.3,Temperature
10/29/24 8:00,21.4,Temperature
10/29/24 12:00,24.01,Temperature
10/29/24 16:00,23.84,Temperature
10/29/24 20:00,21.08,Temperature
10/30/24 0:00,20.08,Temperature
10/30/24 4:00,19.53,Temperature
10/30/24 8:00,20.58,Temperature
10/30/24 12:00,24.62,Temperature
10/30/24 16:00,23.41,Temperature
10/30/24 20:00,20.47,Temperature
10/31/24 0:00,20.34,Temperature
10/31/24 4:00,19.19,Temperature
10/31/24 8:00,20.75,Temperature
10/31/24 12:00,23.92,Temperature
10/31/24 16:00,23.65,Temperature
10/31/24 20:00,20.61,Temperature
11/1/24 0:00,20.22,Temperature
11/1/24 4:00,19.93,Temperature
11/1/24 8:00,21.1,Temperature
11/1/24 12:00,24.19,Temperature
11/1/24 16:00,23.03,Temperature
11/1/24 20:00,20.47,Temperature
11/2/24 0:00,19.13,Temperature
11/2/24 4:00,18.39,Temperature
11/2/24 8:00,19.08,Temperature
11/2/24 12:00,24.14,Temperature
11/2/24 16:00,23.15,Temperature
11/2/24 20:00,19.86,Temperature
11/3/24 0:00,18.7,Temperature
11/3/24 4:00,17.62,Temperature
11/3/24 8:00,18.26,Temperature
11/3/24 12:00,23.19,Temperature
11/3/24 16:00,21.47,Temperature
11/3/24 20:00,19.22,Temperature
11/4/24 0:00,19.31,Temperature
11/4/24 4:00,17.88,Temperature
11/4/24 8:00,17.68,Temperature
11/4/24 12:00,23.28,Temperature
11/4/24 16:00,22.23,Temperature
11/4/24 20:00,20.1,Temperature
11/5/24 0:00,18.19,Temperature
11/5/24 4:00,18.17,Temperature
11/5/24 8:00,18.92,Temperature
11/5/24 12:00,22.11,Temperature
11/5/24 16:00,22.18,Temperature
11/5/24 20:00,19.36,Temperature
11/6/24 0:00,19.15,Temperature
11/6/24 4:00,18.81,Temperature
11/6/24 8:00,18.84,Temperature
11/6/24 12:00,21.78,Temperature
11/6/24 16:00,21.04,Temperature
11/6/24 20:00,18.27,Temperature
11/7/24 0:00,17.25,Temperature
11/7/24 4:00,17.14,Temperature
11/7/24 8:00,17.7,Temperature
11/7/24 12:00,23.05,Temperature
11/7/24 16:00,18.54,Temperature
11/7/24 20:00,17.3,Temperature
11/8/24 0:00,16.39,Temperature
11/8/24 4:00,16.5,Temperature
11/8/24 8:00,17.48,Temperature
11/8/24 12:00,22.83,Temperature
11/8/24 16:00,22.96,Temperature
11/8/24 20:00,17.97,Temperature
11/9/24 0:00,17.85,Temperature
11/9/24 4:00,16.02,Temperature
11/9/24 8:00,16.6,Temperature
11/9/24 12:00,21.9,Temperature
11/9/24 16:00,19.92,Temperature
11/9/24 20:00,17.97,Temperature
11/10/24 0:00,17.09,Temperature
11/10/24 4:00,17.95,Temperature
11/10/24 8:00,17.19,Temperature
11/10/24 12:00,20.15,Temperature
11/10/24 16:00,17.86,Temperature
11/10/24 20:00,17.31,Temperature
11/11/24 0:00,16.07,Temperature
11/11/24 4:00,15.79,Temperature
11/11/24 8:00,15.68,Temperature
11/11/24 12:00,20.06,Temperature
11/11/24 16:00,18.63,Temperature
11/11/24 20:00,17.01,Temperature
11/12/24 0:00,16.48,Temperature
11/12/24 4:00,15.81,Temperature
11/12/24 8:00,16.07,Temperature
11/12/24 12:00,20.31,Temperature
11/12/24 16:00,17.54,Temperature
11/12/24 20:00,16.89,Temperature
11/13/24 0:00,16.19,Temperature
11/13/24 4:00,15.45,Temperature
11/13/24 8:00,15.18,Temperature
11/13/24 12:00,19.6,Temperature
11/13/24 16:00,21.05,Temperature
11/13/24 20:00,18.88,Temperature
11/14/24 0:00,15.63,Temperature
11/14/24 4:00,15,Temperature
11/14/24 8:00,14.87,Temperature
11/14/24 12:00,20.95,Temperature
11/14/24 16:00,21.73,Temperature
11/14/24 20:00,18.43,Temperature
11/15/24 0:00,16.24,Temperature
11/15/24 4:00,16,Temperature
11/15/24 8:00,16.84,Temperature
11/15/24 12:00,19.45,Temperature
11/15/24 16:00,18.85,Temperature
11/15/24 20:00,16.7,Temperature
11/16/24 0:00,14.84,Temperature
11/16/24 4:00,13.47,Temperature
11/16/24 8:00,14.56,Temperature
11/16/24 12:00,18.84,Temperature
11/16/24 16:00,19.15,Temperature
11/16/24 20:00,16.44,Temperature
11/17/24 0:00,14.86,Temperature
11/17/24 4:00,13.02,Temperature
11/17/24 8:00,13.29,Temperature
11/17/24 12:00,20.14,Temperature
11/17/24 16:00,21.54,Temperature
11/17/24 20:00,17.96,Temperature
11/18/24 0:00,14.96,Temperature
11/18/24 4:00,15.05,Temperature
11/18/24 8:00,15.6,Temperature
11/18/24 12:00,21.07,Temperature
11/18/24 16:00,21.47,Temperature
11/18/24 20:00,17.79,Temperature
11/19/24 0:00,16.54,Temperature
11/19/24 4:00,15.66,Temperature
11/19/24 8:00,15,Temperature
11/19/24 12:00,20.28,Temperature
11/19/24 16:00,21.71,Temperature
11/19/24 20:00,18.89,Temperature
11/20/24 0:00,16.65,Temperature
11/20/24 4:00,16.36,Temperature
11/20/24 8:00,17.33,Temperature
11/20/24 12:00,21.54,Temperature
11/20/24 16:00,21.61,Temperature
11/20/24 20:00,18.32,Temperature
11/21/24 0:00,17.75,Temperature
11/21/24 4:00,18.1,Temperature
11/21/24 8:00,17.1,Temperature
11/21/24 12:00,20.33,Temperature
11/21/24 16:00,20.3,Temperature
11/21/24 20:00,17.05,Temperature
11/22/24 0:00,16.3,Temperature
11/22/24 4:00,15.42,Temperature
11/22/24 8:00,15.5,Temperature
11/22/24 12:00,21.07,Temperature
11/22/24 16:00,19.25,Temperature
11/22/24 20:00,18.18,Temperature
11/23/24 0:00,15.78,Temperature
11/23/24 4:00,15.15,Temperature
11/23/24 8:00,15.26,Temperature
11/23/24 12:00,17.68,Temperature
11/23/24 16:00,17.72,Temperature
11/23/24 20:00,15.28,Temperature
11/24/24 0:00,12.72,Temperature
11/24/24 4:00,11.24,Temperature
11/24/24 8:00,12.07,Temperature
11/24/24 12:00,19.24,Temperature
11/24/24 16:00,18.98,Temperature
11/24/24 20:00,16.48,Temperature
11/25/24 0:00,15.16,Temperature
11/25/24 4:00,14.68,Temperature
11/25/24 8:00,15.38,Temperature
11/25/24 12:00,20.53,Temperature
11/25/24 16:00,20.73,Temperature
11/25/24 20:00,17.66,Temperature
11/26/24 0:00,16.42,Temperature
11/26/24 4:00,15.04,Temperature
11/26/24 8:00,13.76,Temperature
11/26/24 12:00,19.56,Temperature
11/26/24 16:00,20.31,Temperature
11/26/24 20:00,16.01,Temperature
11/27/24 0:00,14.04,Temperature
11/27/24 4:00,13.23,Temperature
11/27/24 8:00,13.05,Temperature
11/27/24 12:00,19.85,Temperature
11/27/24 16:00,20.75,Temperature
11/27/24 20:00,16.9,Temperature
11/28/24 0:00,14.14,Temperature
11/28/24 4:00,13.62,Temperature
11/28/24 8:00,15,Temperature
11/28/24 12:00,17.91,Temperature
11/28/24 16:00,20.88,Temperature
11/28/24 20:00,17.19,Temperature
11/29/24 0:00,16.58,Temperature
11/29/24 4:00,14.71,Temperature
11/29/24 8:00,14.82,Temperature
11/29/24 12:00,19.24,Temperature
11/29/24 16:00,19.37,Temperature
11/29/24 20:00,16.76,Temperature
11/30/24 0:00,16.54,Temperature
11/30/24 4:00,17.38,Temperature
11/30/24 8:00,15.94,Temperature
11/30/24 12:00,19.12,Temperature
11/30/24 16:00,17.03,Temperature
11/30/24 20:00,14.34,Temperature
12/1/24 0:00,13.68,Temperature
12/1/24 4:00,13,Temperature
12/1/24 8:00,14.11,Temperature
12/1/24 12:00,17.51,Temperature
12/1/24 16:00,17.61,Temperature
12/1/24 20:00,14.84,Temperature
12/2/24 0:00,14.03,Temperature
12/2/24 4:00,13.46,Temperature
12/2/24 8:00,13.57,Temperature
12/2/24 12:00,18.01,Temperature
12/2/24 16:00,17.96,Temperature
12/2/24 20:00,16.14,Temperature
12/3/24 0:00,15.36,Temperature
12/3/24 4:00,15.96,Temperature
12/3/24 8:00,16.15,Temperature
12/3/24 12:00,18.4,Temperature
12/3/24 16:00,18.84,Temperature
12/3/24 20:00,16.5,Temperature
12/4/24 0:00,15,Temperature
12/4/24 4:00,15.19,Temperature
12/4/24 8:00,14.3,Temperature
12/4/24 12:00,17.73,Temperature
12/4/24 16:00,18.05,Temperature
12/4/24 20:00,15.84,Temperature
12/5/24 0:00,15.19,Temperature
12/5/24 4:00,14.54,Temperature
12/5/24 8:00,14.57,Temperature
12/5/24 12:00,16.55,Temperature
12/5/24 16:00,16.47,Temperature
12/5/24 20:00,14.91,Temperature
12/6/24 0:00,15.66,Temperature
12/6/24 4:00,14.61,Temperature
12/6/24 8:00,14.43,Temperature
12/6/24 12:00,17.92,Temperature
12/6/24 16:00,17.45,Temperature
12/6/24 20:00,17.32,Temperature
12/7/24 0:00,17.49,Temperature
12/7/24 4:00,17.6,Temperature
12/7/24 8:00,17.56,Temperature
12/7/24 12:00,19.48,Temperature
12/7/24 16:00,18.53,Temperature
12/7/24 20:00,16.12,Temperature
12/8/24 0:00,16.85,Temperature
12/8/24 4:00,15.91,Temperature
12/8/24 8:00,14.27,Temperature
12/8/24 12:00,15.73,Temperature
12/8/24 16:00,14.33,Temperature
12/8/24 20:00,13.47,Temperature
12/9/24 0:00,12.6,Temperature
12/9/24 4:00,11.76,Temperature
12/9/24 8:00,11.58,Temperature
12/9/24 12:00,15.83,Temperature
12/9/24 16:00,16.62,Temperature
12/9/24 20:00,13.02,Temperature
12/10/24 0:00,11.99,Temperature
12/10/24 4:00,11.22,Temperature
12/10/24 8:00,10.76,Temperature
12/10/24 12:00,15.88,Temperature
12/10/24 16:00,15.67,Temperature
12/10/24 20:00,12.97,Temperature
12/11/24 0:00,10.31,Temperature
12/11/24 4:00,8.98,Temperature
12/11/24 8:00,8.77,Temperature
12/11/24 12:00,15.37,Temperature
